1,2
7,4
30,8
119,16
454,32
1547,64
5746,128
22630,256
87705,512
347390,1024
1387985,2048
5603049,4096
22220440,8192
89046629,16384
356993092,32768
1427274253,65536
1422801042,131072
1440725871,262144
