0,2
2,4
14,8
36,16
111,32
315,64
727,128
1843,256
4234,512
9952,1024
22462,2048
51432,4096
113714,8192
247966,16384
542341,32768
1179546,65536
2541432,131072
5430001,262144
11594941,524288
24686569,1048576
52219954,2097152
